source_markdown,output_docx,output_pdf,title,subtitle,version,date,status,author,affiliation,source_bytes,docx_bytes,pdf_bytes,pdf_pages,docx_render_pass,pdf_render_pass,semantic_check,warnings,sha256_source,sha256_docx,sha256_pdf
01_Delegated_Execution_Retained_Answerability_OSF.md,01_Delegated_Execution_Retained_Answerability_OSF.docx,01_Delegated_Execution_Retained_Answerability_OSF.pdf,Delegated Execution / Retained Answerability,"Execution Displacement, Judgment Retention, and Downstream Responsibility in AI-Mediated Workflows",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,17563,30533,120502,15,PASS,PASS,PASS,,b2d5915c0dd8cf02760bbe6ee9f3ad50648a2b66c9c154b545d51c355b60b365,184195a5fd8d6a819b092b71c5c45c34761a8bd006a6fb45c142b40f16d71119,17fc05024d25c0f15699309ef59e971e2d5331a03b896529b50305b645dbde79
02_Structural_Fidelity_Use_Validity_Boundary_OSF.md,02_Structural_Fidelity_Use_Validity_Boundary_OSF.docx,02_Structural_Fidelity_Use_Validity_Boundary_OSF.pdf,Structural Fidelity / Use-Validity Boundary,"Representation Similarity, Required Structure, and the Limits of Downstream Use",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,17102,30260,120261,15,PASS,PASS,PASS,,ded0a73c49a2ee09e7409973478930e2a63f2cce44aac87e7c2de323f75604e0,6eb19c76f3cfbdd2698bd78a338b34dbed45858bb5593b0df8d8568ebf091ba8,45b8f1e0a8e87a135afcb7c59c79301e05f3f5cefa57f15eec6d581d9f725fd0
03_LLM_Condition_Research_Result_Boundary_OSF.md,03_LLM_Condition_Research_Result_Boundary_OSF.docx,03_LLM_Condition_Research_Result_Boundary_OSF.pdf,LLM-Condition / Research-Result Boundary,"Execution Conditions, Auditability, and Reproducibility in LLM-Mediated Research",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,19248,31723,132520,17,PASS,PASS,PASS,,8a7790af0559e8b2ff53b5258f57a8c895fa79cff702c9b494fd100078fae51c,25d6c5b0ca7c5869ce02481a0f2d005128d595e99ab4b1bcefc379489d986255,7e78d9b5ac63b0902000f88a94d236c85b4e77b2af09cb6dc583560c6b6fe33c
04_Synthetic_Representation_Human_Grounding_Boundary_OSF.md,04_Synthetic_Representation_Human_Grounding_Boundary_OSF.docx,04_Synthetic_Representation_Human_Grounding_Boundary_OSF.pdf,Synthetic Representation / Human Grounding Boundary,"Generated Response, Population Reference, and the Limits of Evidential Substitution",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,17092,30226,120843,15,PASS,PASS,PASS,,fed3bddfd617dc8fbf1086ab7353bd50ce09cbbaef8160b3a81bbbb2f1e8d384,ce736a732543319289e1b57fad1f9ba76d18c9b1455f184328ca3ae32c30ae60,57a13806a1195b28f7547ee45c07c1f8c6d56170aacf9db049ed8809d0a29251
05_Judgment_Locus_Answerability_Alignment_OSF.md,05_Judgment_Locus_Answerability_Alignment_OSF.docx,05_Judgment_Locus_Answerability_Alignment_OSF.pdf,Judgment-Locus Answerability Alignment,"Visible Attribution, Epistemic Control, and the Location of Answerable Judgment",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,16196,29762,124723,15,PASS,PASS,PASS,,b9e082b95ae35b293ffd1ed5e7602921b356f746626782b3dd6abcfd394c036a,636687da613b2e143857922342a7d44b13cf5941dfaa4813b0e340e05b404a3a,4728ad497d5c7af9b5e560ebd8d7d224b58810eb667c32bb5b2560020c415607
06_Agentic_Execution_Boundary_Failure_Model_OSF.md,06_Agentic_Execution_Boundary_Failure_Model_OSF.docx,06_Agentic_Execution_Boundary_Failure_Model_OSF.pdf,Agentic Execution Boundary Failure Model,"Action Capability, Constraint Lag, and Irreversibility in Tool-Using Systems",0.1,July 2026,Preprint / OSF external-facing version,Huang Tzuyuan,,16970,30394,147128,14,PASS,PASS,PASS,,99460ab2353129ed338af99cf761b6871cf1085b743f29f596db3cc943fadfcc,822ed5f7e11e03cc9b1d052dc2b1ac0f01ebce4e7029eda9ea4eef1be8d8616a,956bc2e1219289bdfc413fce3caed6e620aac5275a270cd929ccfca065e2253f
07_Correct_Summary_Source_Displacement_Model_OSF.md,07_Correct_Summary_Source_Displacement_Model_OSF.docx,07_Correct_Summary_Source_Displacement_Model_OSF.pdf,Correct Summary Source Displacement Model,"Accurate Compression, Operational Replacement, and the Loss of Source Function",0.1,July 2026,Preprint / OSF external-facing version,Huang Tzuyuan,,16246,29879,139269,14,PASS,PASS,PASS,,ba4fbe3a9ed41b35899c12f8b45b4deabeae96741dc7a8aa1b225ffb21d599f7,8ed1f7414af127fe656506e981278f44eb8744d9007e13f701781df89a190a45,4116c0c4ba867a8ff7549820bd6e1427e99bd9566b27571b638a830d84a459e4
08_Entity_Linkage_Sample_Construction_Boundary_OSF.md,08_Entity_Linkage_Sample_Construction_Boundary_OSF.docx,08_Entity_Linkage_Sample_Construction_Boundary_OSF.pdf,Entity-Linkage / Sample-Construction Boundary,"Record Matching, Population Formation, and the Governance of Analytical Samples",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,17878,31399,130678,16,PASS,PASS,PASS,,adcec21e46ae2edb6c145243f3e92cbd04eec695c9539996072071791636012b,774c6b24bdf5435259fe7a4d6cc2b62c42b2f5c1826555f8235c3ee251ec6633,9180e06e4bf277b367e5f56ebcf41ccd764df50d5a1f5e162bf324c95cb3b52a
09_Hidden_Instruction_Authority_Cross_OSF.md,09_Hidden_Instruction_Authority_Cross_OSF.docx,09_Hidden_Instruction_Authority_Cross_OSF.pdf,Hidden Instruction Authority Cross,"Visible Interaction, Invisible Governance, and Authority Asymmetry in AI Systems",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,20649,31906,136892,18,PASS,PASS,PASS,,8eb8028111d9f082e1074ac30af0d5497b4cf88f2aa3b9911da235b69517ce7f,bf7e1db1924ca6e840144eaf7358a71add03f1c9fc6600554f1dd4395833c7c0,0a5d10537bc7dc635309ff3e05b40f80eb8b02f7e52e8d10f61662491389d35c
10_Directional_Responsibility_Role_Obligation_Cross_OSF.md,10_Directional_Responsibility_Role_Obligation_Cross_OSF.docx,10_Directional_Responsibility_Role_Obligation_Cross_OSF.pdf,Directional Responsibility–Role Obligation Cross,"Responsibility Vectors, Competing Duties, and Burden Allocation in Role-Bound Systems",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,28332,34834,185044,24,PASS,PASS,PASS,,e85bd18a4f3a413e32329e4b1a8d2f4b0ff0cc9208d873e87294b9d1f90e303c,b3954aafab27f73da6b2a6834dca62c1b1fddbabb1bfcdc6775c18472cd809af,845011674769ac52ecffd57b35cfbc29cda1362d4920076c210d5226596523a6
11_Sent_Received_Established_Threshold_Model_OSF.md,11_Sent_Received_Established_Threshold_Model_OSF.docx,11_Sent_Received_Established_Threshold_Model_OSF.pdf,Sent–Received–Established Threshold Model,"Transmission, Reception, and the Conditions of Effective Establishment",0.1,July 2026,Preprint / OSF external-facing version,Huang Tzuyuan,,16333,30008,141836,14,PASS,PASS,PASS,,920dc4324a6376de6d00c588f5d96401a5a983375f24e3a1947c8c53b834efb9,c6586478c14735f90984c6e718ed51cf89552c0609cf0c8a62bd7d7395ba90cd,68742a80d85266cd40af3bf0a03c1254ca6c31ac3b854c1b581e319323b110ab
12_Input_Absence_Output_Inaccessibility_Model_OSF.md,12_Input_Absence_Output_Inaccessibility_Model_OSF.docx,12_Input_Absence_Output_Inaccessibility_Model_OSF.pdf,Input Absence–Output Inaccessibility Model,"Lifecycle Exclusion, Visible-Field Adequacy, and the Reproduction of Invisibility",0.1,July 2026,Preprint / OSF external-facing version,Huang Tzuyuan,,16079,29586,134966,13,PASS,PASS,PASS,,bee44808cfcb7b5960236faae6b9264faee81cffb3aca09be38bb54f33d92bc5,d7d956755bb7b17dad2826de115f8106e0afac991574d729ca3f183e6785be50,1c5dfe1ccd2f994440cb08ddda6ab84bca408315ae825f22f233ef444769c062
14_Purchased_Access_Revocable_Library_Boundary_OSF.md,14_Purchased_Access_Revocable_Library_Boundary_OSF.docx,14_Purchased_Access_Revocable_Library_Boundary_OSF.pdf,Purchased Access / Revocable Library Boundary,"Ownership Surfaces, Platform Dependency, and the Instability of Digital Possession",0.1,July 2026,Preprint / OSF external-facing draft,Huang Tzuyuan,,18297,30992,126573,16,PASS,PASS,PASS,,14cf9378c13d90892bd81c0d08b88f36aebc6ff155221600f82ff2b9986c679e,ff891130e07a2811ff25f40b939cb5c7ada331bcb565bb561d726394bd433f98,533dcd61af8fd9aae55f64a18887cbe5eff0c31232298cf53f16a08605f5c9c3
15_Correction_Surface_Multiplication_Model_OSF.md,15_Correction_Surface_Multiplication_Model_OSF.docx,15_Correction_Surface_Multiplication_Model_OSF.pdf,Correction-Surface Multiplication Model,"Corrective Visibility, Recursive Drift, and the Expansion of Public Repair Surfaces",0.1,July 2026,Preprint / OSF external-facing version,Huang Tzuyuan,,16383,29835,143857,14,PASS,PASS,PASS,,89cd825690c9d998076eb82cb17552c48489ce1ffc340382de2d61c65f055820,b1ea9f2a4b7528d4bda89b5acd77f16fda2dbfee65bc9a5be47cf51440401ba6,8d5b7d6975aa77eb7e5c6dbfbc99d868d5ac00df16b2b49dda88d17e75c8642a
